	index	player	unique_id	year_start	year_finish	position	link
218	3501	Kaapo Kahkonen	kahkoka01	2020	2020	G	https://www.hockey-reference.com/players/k/kahkoka01.html
219	3546	Henrik Karlsson	karlshe01	2011	2012	G	https://www.hockey-reference.com/players/k/karlshe01.html
220	3554	Jason Kasdorf	kasdoja01	2016	2016	G	https://www.hockey-reference.com/players/k/kasdoja01.html
221	3557	Kasimir Kaskisuo	kaskika01	2020	2020	G	https://www.hockey-reference.com/players/k/kaskika01.html
222	3583	Matt Keetley	keetlma01	2008	2008	G	https://www.hockey-reference.com/players/k/keetlma01.html
223	3636	Nikolai Khabibulin	khabini01	1995	2014	G	https://www.hockey-reference.com/players/k/khabini01.html
224	3644	Anton Khudobin	khudoan01	2010	2020	G	https://www.hockey-reference.com/players/k/khudoan01.html
225	3646	Trevor Kidd	kiddtr01	1992	2004	G	https://www.hockey-reference.com/players/k/kiddtr01.html
226	3663	Scott King	kingsc01	1991	1992	G	https://www.hockey-reference.com/players/k/kingsc01.html
227	3666	Keith Kinkaid	kinkake01	2013	2020	G	https://www.hockey-reference.com/players/k/kinkake01.html
228	3672	Miikka Kiprusoff	kiprumi01	2001	2013	G	https://www.hockey-reference.com/players/k/kiprumi01.html
229	3682	Matiss Kivlenieks	kivlema01	2020	2020	G	https://www.hockey-reference.com/players/k/kivlema01.html
230	3709	Connor Knapp	knappco01	2014	2014	G	https://www.hockey-reference.com/players/k/knappco01.html
231	3711	Rick Knickle	knickri01	1993	1994	G	https://www.hockey-reference.com/players/k/knickri01.html
232	3721	Dieter Kochan	kochadi01	2000	2003	G	https://www.hockey-reference.com/players/k/kochadi01.html
233	3738	Vitali Kolesnik	kolesvi01	2006	2006	G	https://www.hockey-reference.com/players/k/kolesvi01.html
234	3742	Olaf Kolzig	kolziol01	1990	2009	G	https://www.hockey-reference.com/players/k/kolziol01.html
235	3754	Evgeny Konstantinov	konstev01	2001	2003	G	https://www.hockey-reference.com/players/k/konstev01.html
236	3772	Joonas Korpisalo	korpijo01	2016	2020	G	https://www.hockey-reference.com/players/k/korpijo01.html
237	3775	Mikko Koskinen	koskimi01	2011	2020	G	https://www.hockey-reference.com/players/k/koskimi01.html
238	3800	Brent Krahn	krahnbr01	2009	2009	G	https://www.hockey-reference.com/players/k/krahnbr01.html
239	3840	Darcy Kuemper	kuempda01	2013	2020	G	https://www.hockey-reference.com/players/k/kuempda01.html
240	3861	Les Kuntar	kuntale01	1994	1994	G	https://www.hockey-reference.com/players/k/kuntale01.html
241	3897	Jason LaBarbera	labarja01	2001	2015	G	https://www.hockey-reference.com/players/l/labarja01.html
242	3900	Jean-Francois Labbe	labbeje01	2000	2003	G	https://www.hockey-reference.com/players/l/labbeje01.html
243	3907	Patrick Labrecque	labrepa01	1996	1996	G	https://www.hockey-reference.com/players/l/labrepa01.html
244	3913	Blaine Lacher	lachebl01	1995	1996	G	https://www.hockey-reference.com/players/l/lachebl01.html
245	3914	Eddie Lack	lacked01	2014	2018	G	https://www.hockey-reference.com/players/l/lacked01.html
246	3917	Dan LaCosta	lacosda01	2008	2009	G	https://www.hockey-reference.com/players/l/lacosda01.html
247	3936	Mark LaForest	laforma01	1986	1994	G	https://www.hockey-reference.com/players/l/laforma01.html
248	3945	Maxime Lagace	lagacma01	2018	2019	G	https://www.hockey-reference.com/players/l/lagacma01.html
249	3954	Simon Lajeunesse	lajeusi01	2002	2002	G	https://www.hockey-reference.com/players/l/lajeusi01.html
250	3959	Patrick Lalime	lalimpa01	1997	2011	G	https://www.hockey-reference.com/players/l/lalimpa01.html
251	3975	Marc Lamothe	lamotma01	2000	2004	G	https://www.hockey-reference.com/players/l/lamotma01.html
252	3995	Marek Langhamer	langhma01	2017	2018	G	https://www.hockey-reference.com/players/l/langhma01.html
253	3997	Scott Langkow	langksc01	1996	2000	G	https://www.hockey-reference.com/players/l/langksc01.html
254	4030	Michel Larocque	larocmi02	2001	2001	G	https://www.hockey-reference.com/players/l/larocmi02.html
255	4047	Jan Lasak	lasakja01	2002	2003	G	https://www.hockey-reference.com/players/l/lasakja01.html
256	4079	Nathan Lawson	lawsona01	2011	2014	G	https://www.hockey-reference.com/players/l/lawsona01.html
257	4102	Ray LeBlanc	leblara01	1992	1992	G	https://www.hockey-reference.com/players/l/leblara01.html
258	4109	Pascal Leclaire	leclapa01	2004	2011	G	https://www.hockey-reference.com/players/l/leclapa01.html
259	4133	Manny Legace	legacma01	1999	2010	G	https://www.hockey-reference.com/players/l/legacma01.html
260	4143	Robin Lehner	lehnero01	2011	2020	G	https://www.hockey-reference.com/players/l/lehnero01.html
261	4149	Kari Lehtonen	lehtoka01	2004	2018	G	https://www.hockey-reference.com/players/l/lehtoka01.html
262	4155	Michael Leighton	leighmi01	2003	2017	G	https://www.hockey-reference.com/players/l/leighmi01.html
263	4164	Reggie Lemelin	lemelre01	1979	1993	G	https://www.hockey-reference.com/players/l/lemelre01.html
264	4177	Mike Lenarduzzi	lenarmi01	1993	1994	G	https://www.hockey-reference.com/players/l/lenarmi01.html
265	4178	David LeNeveu	lenevda01	2006	2011	G	https://www.hockey-reference.com/players/l/lenevda01.html
266	4233	Nathan Lieuwen	lieuwna01	2014	2014	G	https://www.hockey-reference.com/players/l/lieuwna01.html
267	4241	Anders Lindback	lindban01	2011	2016	G	https://www.hockey-reference.com/players/l/lindban01.html
268	4253	Charlie Lindgren	lindgch01	2016	2020	G	https://www.hockey-reference.com/players/l/lindgch01.html
269	4280	Neil Little	littlne01	2002	2004	G	https://www.hockey-reference.com/players/l/littlne01.html
270	4281	David Littman	littmda01	1991	1993	G	https://www.hockey-reference.com/players/l/littmda01.html
271	4283	Mike Liut	liutmi01	1980	1992	G	https://www.hockey-reference.com/players/l/liutmi01.html
272	4312	Danny Lorenz	lorenda01	1991	1993	G	https://www.hockey-reference.com/players/l/lorenda01.html
273	4359	Henrik Lundqvist	lundqhe01	2006	2020	G	https://www.hockey-reference.com/players/l/lundqhe01.html
274	4366	Roberto Luongo	luongro01	2000	2019	G	https://www.hockey-reference.com/players/l/luongro01.html
275	4379	Alex Lyon	lyonal01	2018	2020	G	https://www.hockey-reference.com/players/l/lyonal01.html
276	4399	Joey MacDonald	macdojo01	2007	2014	G	https://www.hockey-reference.com/players/m/macdojo01.html
277	4418	Drew MacIntyre	macindr01	2008	2014	G	https://www.hockey-reference.com/players/m/macindr01.html
278	4461	Darrin Madeley	madelda01	1993	1995	G	https://www.hockey-reference.com/players/m/madelda01.html
279	4484	Andrey Makarov	makaran01	2015	2015	G	https://www.hockey-reference.com/players/m/makaran01.html
280	4492	Clint Malarchuk	malarcl01	1982	1992	G	https://www.hockey-reference.com/players/m/malarcl01.html
281	4524	George Maneluk	manelge01	1991	1991	G	https://www.hockey-reference.com/players/m/manelge01.html
282	4539	Peter Mannino	mannipe01	2009	2012	G	https://www.hockey-reference.com/players/m/mannipe01.html
283	4551	Norm Maracle	maracno01	1998	2002	G	https://www.hockey-reference.com/players/m/maracno01.html
284	4576	Jussi Markkanen	markkju01	2002	2007	G	https://www.hockey-reference.com/players/m/markkju01.html
285	4582	Jacob Markstrom	marksja02	2011	2020	G	https://www.hockey-reference.com/players/m/marksja02.html
286	4618	Spencer Martin	martisp01	2017	2017	G	https://www.hockey-reference.com/players/m/martisp01.html
287	4633	Bob Mason	masonbo01	1984	1991	G	https://www.hockey-reference.com/players/m/masonbo01.html
288	4635	Chris Mason	masonch02	1999	2013	G	https://www.hockey-reference.com/players/m/masonch02.html
289	4636	Steve Mason	masonst01	2009	2018	G	https://www.hockey-reference.com/players/m/masonst01.html
290	4677	Marek Mazanec	mazanma01	2014	2017	G	https://www.hockey-reference.com/players/m/mazanma01.html
291	4727	Thomas McCollum	mccolth01	2011	2015	G	https://www.hockey-reference.com/players/m/mccolth01.html
292	4772	Curtis McElhinney	mcelhcu01	2008	2020	G	https://www.hockey-reference.com/players/m/mcelhcu01.html
293	4806	Zane McIntyre	mcintza01	2017	2017	G	https://www.hockey-reference.com/players/m/mcintza01.html
294	4810	Ross McKay	mckayro01	1991	1991	G	https://www.hockey-reference.com/players/m/mckayro01.html
295	4819	Mike McKenna	mckenmi01	2009	2019	G	https://www.hockey-reference.com/players/m/mckenmi01.html
296	4830	Steve McKichan	mckicst01	1991	1991	G	https://www.hockey-reference.com/players/m/mckicst01.html
297	4843	Kirk McLean	mcleaki01	1986	2001	G	https://www.hockey-reference.com/players/m/mcleaki01.html
298	4850	Jamie McLennan	mclenja01	1994	2007	G	https://www.hockey-reference.com/players/m/mclenja01.html
299	4896	Rob McVicar	mcvicro01	2006	2006	G	https://www.hockey-reference.com/players/m/mcvicro01.html
300	4915	Roland Melanson	melanro01	1981	1992	G	https://www.hockey-reference.com/players/m/melanro01.html
301	4942	Elvis Merzlikins	merzlel01	2020	2020	G	https://www.hockey-reference.com/players/m/merzlel01.html
302	4963	Alfie Michaud	michaal01	2000	2000	G	https://www.hockey-reference.com/players/m/michaal01.html
303	4964	Olivier Michaud	michaol01	2002	2002	G	https://www.hockey-reference.com/players/m/michaol01.html
304	4996	Greg Millen	millegr01	1979	1992	G	https://www.hockey-reference.com/players/m/millegr01.html
305	5016	Ryan Miller	millery01	2003	2020	G	https://www.hockey-reference.com/players/m/millery01.html
306	5024	Mike Minard	minarmi01	2000	2000	G	https://www.hockey-reference.com/players/m/minarmi01.html
307	5032	Hunter Miska	miskahu01	2019	2019	G	https://www.hockey-reference.com/players/m/miskahu01.html
308	5079	Sam Montembeault	montesa01	2019	2020	G	https://www.hockey-reference.com/players/m/montesa01.html
309	5082	Al Montoya	montoal01	2009	2018	G	https://www.hockey-reference.com/players/m/montoal01.html
310	5083	Andy Moog	moogan01	1981	1998	G	https://www.hockey-reference.com/players/m/moogan01.html
311	5130	Mike Morrison	morrimi01	2006	2007	G	https://www.hockey-reference.com/players/m/morrimi01.html
312	5144	Tyler Moss	mossty01	1998	2003	G	https://www.hockey-reference.com/players/m/mossty01.html
313	5158	Petr Mrazek	mrazepe01	2013	2020	G	https://www.hockey-reference.com/players/m/mrazepe01.html
314	5177	Adam Munro	munroad01	2004	2006	G	https://www.hockey-reference.com/players/m/munroad01.html
315	5194	Mike Murphy	murphmi02	2012	2012	G	https://www.hockey-reference.com/players/m/murphmi02.html
316	5212	Matt Murray	murrama02	2016	2020	G	https://www.hockey-reference.com/players/m/murrama02.html
317	5226	Jason Muzzatti	muzzaja01	1994	1998	G	https://www.hockey-reference.com/players/m/muzzaja01.html
318	5233	Jarmo Myllys	myllyja01	1989	1992	G	https://www.hockey-reference.com/players/m/myllyja01.html
319	5234	Sergei Mylnikov	mylnise01	1990	1990	G	https://www.hockey-reference.com/players/m/mylnise01.html
320	5238	Evgeni Nabokov	nabokev01	2000	2015	G	https://www.hockey-reference.com/players/n/nabokev01.html
321	5259	Gregg Naumenko	naumegr01	2001	2001	G	https://www.hockey-reference.com/players/n/naumegr01.html
322	5267	Alex Nedeljkovic	nedelal01	2017	2020	G	https://www.hockey-reference.com/players/n/nedelal01.html
323	5296	Michal Neuvirth	neuvimi01	2009	2019	G	https://www.hockey-reference.com/players/n/neuvimi01.html
324	5324	Antti Niemi	niemian02	2009	2019	G	https://www.hockey-reference.com/players/n/niemian02.html
325	5334	Antero Niittymaki	niittan01	2004	2011	G	https://www.hockey-reference.com/players/n/niittan01.html
326	5342	Anders Nilsson	nilssan01	2012	2020	G	https://www.hockey-reference.com/players/n/nilssan01.html
327	5347	Cristopher Nilstorp	nihlsch01	2013	2014	G	https://www.hockey-reference.com/players/n/nihlsch01.html
328	5371	Mika Noronen	noronmi01	2001	2006	G	https://www.hockey-reference.com/players/n/noronmi01.html
329	5372	Fredrik Norrena	norrefr01	2007	2009	G	https://www.hockey-reference.com/players/n/norrefr01.html
330	5393	Pasi Nurminen	nurmipa01	2002	2004	G	https://www.hockey-reference.com/players/n/nurmipa01.html
331	5418	Connor	oconnma01	2016	2016	G	https://www.hockey-reference.com/players/o/oconnma01.html
332	5434	Neill	oneilmi01	1992	1997	G	https://www.hockey-reference.com/players/o/oneilmi01.html
333	5503	Joni Ortio	ortiojo01	2014	2016	G	https://www.hockey-reference.com/players/o/ortiojo01.html
334	5509	Chris Osgood	osgooch01	1994	2011	G	https://www.hockey-reference.com/players/o/osgooch01.html
335	5515	Maxime Ouellet	ouellma01	2001	2006	G	https://www.hockey-reference.com/players/o/ouellma01.html
